text,class
open a browser,OpenWebBrowser
open a web broser,OpenWebBrowser
open google,OpenGoogleBrowser
can you open google,OpenGoogleBrowser
open google,OpenGoogleBrowser
can you open google,OpenGoogleBrowser
open a browser,OpenWebBrowser
open a web broser,OpenWebBrowser
play something on spotify,SpotifyPlayOrResumePlayback
play the beetles on spotify, SpotifyPlayOrResumePlayback
open youtube, OpenWebBrowser
could you search, OpenWebBrowser
open edge, OpenWebBrowser
pause, SpotifyPausePlayback
Whats the weather like, Question
Hey Samson how are you, Greet
Hey samson how are you, Greet
Good morning samson, Greet
Whats up samson, Greet
pause this song, SpotifyPausePlayback
play my playlist, SpotifyStartPlaylist
could you play my playlist, SpotifyStartPlaylist
Get my available devices on spotify, SpotifyAvailableDevices
what devices do I have on spotify, SpotifyAvailableDevices
could you get my spotify devices, SpotifyAvailableDevices
stop this song, SpotifyPausePlayback
stop, SpotifyPausePlayback
pause this, SpotifyPausePlayback
play me a song on spotify, SpotifyPlayOrResumePlayback
open a new tab,OpenWebBrowser
navigate to facebook,OpenWebBrowser
search for local restaurants,OpenWebBrowser
tell me a joke,Question
how much is 10 plus 5,Question
play the latest Ed Sheeran song on spotify,SpotifyPlayOrResumePlayback
play jazz music on spotify,SpotifyPlayOrResumePlayback
skip to the next song,SpotifySkipPlayback
go back to the previous song,SpotifyPreviousPlayback
increase volume on spotify,SpotifyVolumeUp
decrease volume on spotify,SpotifyVolumeDown
mute spotify,SpotifyMutePlayback
unmute spotify,SpotifyUnmutePlayback
shuffle my spotify playlist,SpotifyShufflePlayback
repeat this album on spotify,SpotifyRepeatPlayback
what's the capital of France,Question
hi Samson,Greet
good evening samson,Greet
how's the weather tomorrow,Question
stop playback,SpotifyPausePlayback
resume playback,SpotifyPlayOrResumePlayback
switch to my phone on spotify,SpotifyDeviceTransfer
transfer music to my living room speaker,SpotifyDeviceTransfer
what song is this,SpotifyCurrentTrack
find my spotify top songs,SpotifyTopTracks
could you please open a new browser window for me,OpenWebBrowser
I'd like to navigate to my Facebook page can you do that,OpenWebBrowser
I'm in the mood for Italian food can you search for nearby restaurants,OpenWebBrowser
I need a good laugh tell me your best joke,Question
I'm wondering what is the result of adding 10 and 5 together,Question
I love Ed Sheeran's new song can you play it on Spotify for me,SpotifyPlayOrResumePlayback
I feel like listening to some smooth jazz music on Spotify can you play it,SpotifyPlayOrResumePlayback
I'm not feeling this track can you skip to the next song on Spotify,SpotifySkipPlayback
Actually the previous song was better can we go back to that one on Spotify,SpotifyPreviousPlayback
The music's a bit low could you turn up the volume on Spotify,SpotifyVolumeUp
It's too loud now please lower the Spotify volume,SpotifyVolumeDown
I can't focus mute the music on Spotify for a moment,SpotifyMutePlayback
Actually I changed my mind unmute Spotify please,SpotifyUnmutePlayback
I like surprises shuffle my Spotify playlist will you,SpotifyShufflePlayback
This album is great can you set it to repeat on Spotify,SpotifyRepeatPlayback
I'm curious about something what is the capital city of France,Question
Could you greet me in Spanish I'm trying to learn,Question
Good evening samson I hope you're doing well today,Greet
Do you know if it will rain tomorrow I have plans and I'm wondering about the weather,Question
I need a break from this song stop the playback on Spotify,SpotifyPausePlayback
I'm ready to listen again can you resume the playback on Spotify,SpotifyPlayOrResumePlayback
I'm switching over to my phone can you transfer the Spotify music there,SpotifyDeviceTransfer
I want to fill the room with music transfer the tunes to my living room speaker on Spotify,SpotifyDeviceTransfer
This song sounds familiar what's it called,SpotifyCurrentTrack
I'm interested in what I've been listening to the most can you find my top songs on Spotify,SpotifyTopTracks
hi samson, Greet
hey there samson, Greet
yo samson what is up, Greet
yo, Greet
morning samson, Greet
